Epoch,Loss,"L1 W1,1","L1 W2,1","L1 W1,2","L1 W2,2",L1 B1,L1 B2,"L2 W1,1","L2 W2,1",L2 B1,"L1 GW1,1","L1 GW2,1","L1 GW1,2","L1 GW2,2",L1 GB1,L1 GB2,"L2 GW1,1","L2 GW2,1",L2 GB1,Predicted Y1,Predicted Y2,Predicted Y3,Predicted Y4
0,0.46363247334957125,0.037507238984107974,-0.04555175770074128,-0.3267370849847794,0.0974417254328728,0.0,0.0,-0.1974208477884531,-0.5676271587610244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07943739145994186,0.07984270751476288,0.1253981027752161
100,0.3562032304704189,-0.042460781335830686,-0.17982633654028177,-0.4024131134152412,0.0888762027025223,-0.008800576490466458,-0.023685856163501738,0.03818307667970657,-0.53604197204113,0.0849585784599185,-0.00296984571032225,-0.004872897639870639,0.008372861426323649,-0.00440294269938021,-0.00798039364162831,0.00749239131109789,-0.00921116629615425,0.00266747556161135,0.0017746361903846104,0.08683745861053467,0.28104124665260316,0.27304291129112246,0.06262765582650898
200,0.3541902605152245,-0.05156658291816714,-0.1779929930344224,-0.4039561107754707,0.10648389458656313,-0.004106712759585199,-0.02464991584420204,0.06867739707231521,-0.5526539385318756,0.0810178371844813,4.246649405103855e-05,-0.0003272397302680425,-0.0007586982497741646,-0.00059807621291838,-0.0002902016734879015,-0.0005949184185737918,-0.0006264786381507171,0.0005857343090610854,-0.00014730615075678,0.08266888712532817,0.2986838936805725,0.28216732740402223,0.036185279488563524
300,0.35416668580410243,-0.05202730894088745,-0.17753465715795755,-0.40328333526849747,0.10823788642883303,-0.0034891655900025817,-0.02453192695975303,0.07040423303842544,-0.5546251654624939,0.08166182763670804,-4.34134956321941e-06,-1.2694380370697058e-05,-1.6451396572842052e-05,-1.0151677270181128e-05,-1.6299930780399174e-05,-9.979120113706333e-06,-1.8586513419897476e-05,1.4753110110624792e-05,-1.0399471648263908e-05,0.08331208869203692,0.29996400475502016,0.2832923889160156,0.033410718693630756
400,0.3541666649294465,-0.0520407557487488,-0.17753160540014506,-0.4032412052154541,0.10826746225357058,-0.0034802126869759977,-0.02450279854238033,0.070449723303318,-0.5546541213989258,0.08168236169121883,2.6292519805792837e-08,2.7233723187691793e-08,-2.729505872878235e-07,-2.8084195946576074e-07,5.685510728881127e-08,-2.760850101424239e-07,-3.771799278240451e-07,5.840820946900749e-08,-4.991632067685714e-08,0.08333344923776168,0.2999992847442627,0.28333261907100676,0.03333454413409526
500,0.3541666656732778,-0.05204066038131714,-0.17753177229315042,-0.4032409057021141,0.10826786160469057,-0.0034800453182129596,-0.024502328783273693,0.07045037895441053,-0.554654312133789,0.08168234333298585,-1.2365114798740256e-08,2.8901743576170707e-08,4.471343117984357e-09,2.5606809117562083e-09,2.8751989589181902e-08,2.5606809117562083e-09,-5.8426240912012875e-08,-2.3009252103634027e-08,3.936135328785895e-09,0.08333342643055346,0.29999992847442625,0.28333322405815126,0.03333342890913968
600,0.3541666656732766,-0.05204066038131714,-0.17753177229315042,-0.40324086248874663,0.10826786160469057,-0.003480035661826876,-0.024502330645918842,0.07045037895441053,-0.554654312133789,0.08168234775961594,-2.059946169197247e-08,2.3211271127365762e-08,7.407459889918754e-09,3.53557325638576e-09,2.2278334199654636e-08,3.53557325638576e-09,-5.546540577938686e-08,-2.7094000287775087e-08,2.9114346489222953e-09,0.08333343090894516,0.29999993443489076,0.2833332300186157,0.03333341046041766
700,0.354166665673278,-0.05204066038131714,-0.17753177229315042,-0.40324086248874663,0.10826786160469057,-0.003480034848341419,-0.02450232841074466,0.07045037895441053,-0.554654312133789,0.08168234792375414,-1.842745191993345e-08,2.5383280899404782e-08,9.686389290664014e-09,5.8145026571310154e-09,2.5312579055025707e-08,5.8145026571310154e-09,-5.546540577938686e-08,-2.7094000287775087e-08,5.782395362530224e-09,0.08333343254061276,0.29999993443489076,0.2833332300186157,0.03333341457067149
800,0.3541666656732764,-0.05204066038131714,-0.17753177229315042,-0.40324086248874663,0.10826786160469057,-0.003480033186228128,-0.02450232952833175,0.07045037895441053,-0.554654312133789,0.08168234797536514,-4.5082669686280504e-08,-1.2719368669422693e-09,7.531435386454176e-09,3.6595487529211824e-09,-2.646978316533932e-08,3.6595487529211824e-09,-5.546540577938686e-08,-2.7094000287775087e-08,2.515390917778859e-09,0.08333342989325558,0.29999993443489076,0.2833332300186157,0.03333341068401978
900,0.3541666656732761,-0.05204066038131714,-0.17753177229315042,-0.40324086248874663,0.10826786160469057,-0.0034800319688172445,-0.024502330645918842,0.07045037895441053,-0.554654312133789,0.08168234792588577,-4.5082669686280504e-08,-1.2719368669422693e-09,6.775653815793701e-09,2.9037671822607082e-09,-2.646978316533932e-08,2.9037671822607082e-09,-5.546540577938686e-08,-2.7094000287775087e-08,1.7719173683872214e-09,0.08333342976942788,0.29999993443489076,0.2833332300186157,0.033333409320900384
1000,0.35416666567327715,-0.05204066038131714,-0.17753177229315042,-0.40324086248874663,0.10826786160469057,-0.003480035453071907,-0.02450232915580272,0.07045037895441053,-0.554654312133789,0.08168234764569889,-1.953749872996014e-08,2.4273234089378093e-08,8.521701744257375e-09,4.649815110724376e-09,2.3529079840045598e-08,4.649815110724376e-09,-5.546540577938686e-08,-2.7094000287775087e-08,4.094873418125644e-09,0.083333431266189,0.29999993443489076,0.2833332300186157,0.033333412470051366
1100,0.3541666656732764,-0.05204066038131714,-0.17753177229315042,-0.40324086248874663,0.10826786160469057,-0.00348003362977395,-0.02450232990086078,0.07045037895441053,-0.554654312133789,0.08168234825858747,-4.5082669686280504e-08,-1.2719368669422693e-09,7.464149831548637e-09,3.5922631980156437e-09,-2.646978316533932e-08,3.5922631980156437e-09,-5.546540577938686e-08,-2.7094000287775087e-08,2.6005821496255523e-09,0.08333343018499591,0.29999993443489076,0.2833332300186157,0.03333341056266192
1200,0.3541666656732793,-0.05204066038131714,-0.17753177229315042,-0.40324086248874663,0.10826786160469057,-0.0034800322628405394,-0.02450232841074466,0.07045037895441053,-0.554654312133789,0.0816823482619526,-4.823240047358013e-08,-1.2719368669422693e-09,7.824323944305432e-09,6.476575720171239e-10,-2.9619513952638954e-08,6.476575720171239e-10,-5.8285258575097035e-08,-2.9781554289343148e-08,-3.329918740746507e-09,0.0833334295953108,0.29999992847442625,0.28333322405815126,0.033333411212271354
1300,0.35416666567327704,-0.05204066038131714,-0.17753177229315042,-0.40324086248874663,0.10826786160469057,-0.0034800360353499553,-0.02450232915580272,0.07045037895441053,-0.554654312133789,0.08168234806223892,-1.967080223153062e-08,2.4139930587807613e-08,8.381835669979408e-09,4.509949036446415e-09,2.3262472836904635e-08,4.509949036446415e-09,-5.546540577938686e-08,-2.7094000287775087e-08,3.842613693905151e-09,0.08333343101392927,0.29999993443489076,0.2833332300186157,0.03333341221779164
1400,0.3541666656732799,-0.05204066038131714,-0.17753177229315042,-0.40324086248874663,0.10826786160469057,-0.0034800343983552376,-0.02450233027338981,0.07045037895441053,-0.554654312133789,0.08168234820581972,-2.3177654639994222e-08,2.378280896664364e-08,8.007135221532734e-09,8.304688492444255e-10,2.027168193308171e-08,8.304688492444255e-10,-5.8285258575097035e-08,-2.9781554289343148e-08,-1.9674629925248154e-09,0.08333343199051058,0.29999992847442625,0.28333322405815126,0.03333341154198308
1500,0.3541666656732764,-0.05204066038131714,-0.17753177229315042,-0.40324086248874663,0.10826786160469057,-0.003480033064931022,-0.02450232915580272,0.07045037895441053,-0.554654312133789,0.08168234779589056,-4.5082669686280504e-08,-1.2719368669422693e-09,7.662635681526807e-09,3.790749047993813e-09,-2.646978316533932e-08,3.790749047993813e-09,-5.546540577938686e-08,-2.7094000287775087e-08,2.545472455039999e-09,0.08333342971678803,0.29999993443489076,0.2833332300186157,0.033333410920650404
1600,0.354166665673279,-0.05204066038131714,-0.17753177229315042,-0.40324086248874663,0.10826786160469057,-0.0034800318017837464,-0.02450232952833175,0.07045037895441053,-0.554654312133789,0.08168234819318627,-4.823240047358013e-08,-1.2719368669422693e-09,7.056659256932106e-09,-1.2000711535620228e-10,-2.9619513952638954e-08,-1.2000711535620228e-10,-5.8285258575097035e-08,-2.9781554289343148e-08,-4.0948236801341406e-09,0.08333342945005313,0.29999992847442625,0.28333322405815126,0.033333409827719145
1700,0.3541666656732768,-0.05204066038131714,-0.17753177229315042,-0.40324086248874663,0.10826786160469057,-0.0034800351549081022,-0.02450232841074466,0.07045037895441053,-0.554654312133789,0.08168234784552908,-2.0430341152177795e-08,2.338039166716044e-08,-1.8280965008443673e-08,-2.215285164197667e-08,2.283487390286609e-08,-2.215285164197667e-08,-5.546540577938686e-08,-2.7094000287775087e-08,3.4380263969069348e-09,0.083333431642086,0.29999993443489076,0.2833332300186157,0.03333341078046032
1800,0.35416666567327915,-0.05204066038131714,-0.17753177229315042,-0.40324086248874663,0.10826786160469057,-0.0034800333286358134,-0.02450232915580272,0.07045037895441053,-0.554654312133789,0.08168234836861928,-4.823240047358013e-08,-1.2719368669422693e-09,7.406504920481898e-09,2.2983854819358368e-10,-2.9619513952638954e-08,2.2983854819358368e-10,-5.8285258575097035e-08,-2.9781554289343148e-08,-3.670398029953503e-09,0.08333342966793111,0.29999992847442625,0.28333322405815126,0.033333410458695305
1900,0.3541666656732788,-0.05204066038131714,-0.17753177229315042,-0.40324086248874663,0.10826786160469057,-0.0034800320154480327,-0.02450233027338981,0.07045037895441053,-0.554654312133789,0.08168234839240256,-4.823240047358013e-08,-1.2719368669422693e-09,6.6958570243969e-09,-4.808093478914088e-10,-2.9619513952638954e-08,-4.808093478914088e-10,-5.8285258575097035e-08,-2.9781554289343148e-08,-4.332467540280049e-09,0.08333342962550602,0.29999992847442625,0.28333322405815126,0.03333340917697853
2000,0.35416666567327976,-0.05204066038131714,-0.17753177229315042,-0.40324086248874663,0.10826786160469057,-0.0034800354416675188,-0.024502328783273693,0.07045037895441053,-0.554654312133789,0.08168234818472228,-2.2940526633874474e-08,2.401993697276339e-08,8.255936023715547e-09,1.0792696514272392e-09,1.9872751977345616e-08,1.0792696514272392e-09,-5.8285258575097035e-08,-2.9781554289343148e-08,-2.3449246100426534e-09,0.08333343078685403,0.29999992847442625,0.28333322405815126,0.033333411990719236
