Seed & Epoch,Loss,"L1 W1,1","L1 W2,1","L1 W1,2","L1 W2,2",L1 B1,L1 B2,"L2 W1,1","L2 W2,1",L2 B1,"L1 GW1,1","L1 GW2,1","L1 GW1,2","L1 GW2,2",L1 GB1,L1 GB2,"L2 GW1,1","L2 GW2,1",L2 GB1,Predicted Y1,Predicted Y2,Predicted Y3,Predicted Y4
Seed 1 / Epoch 50000,0.5,-0.4678700864315033,-0.0300953779369592,-0.9424180388450624,0.3649608194828033,0.0,0.0,0.6087149977684021,-0.0613206923007965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seed 2 / Epoch 50000,0.5,-0.537211000919342,0.1429026573896408,-0.1350418627262115,1.0280067920684814,0.0,0.0,-1.0061575174331665,-1.220502853393555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seed 3 / Epoch 50000,0.5,0.5668030977249146,0.4275410175323486,0.2524231672286987,1.0300278663635254,0.0,0.0,-2.5007164478302,-1.6644138097763062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seed 4 / Epoch 50000,0.5,0.3149113655090332,-1.08115816116333,0.1598451286554336,-0.6542395353317261,0.0,0.0,-0.1759999245405197,-0.6787796020507812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seed 5 / Epoch 50000,2.0606167596901042e-13,0.9461854100227356,-0.9461854100227356,-0.9017935395240784,0.9465631246566772,-1.7158960474716878e-08,-0.0447695851325988,1.0568742752075195,1.1089003086090088,4.498432701893762e-07,-7.926104217403918e-09,2.440523587665666e-07,2.560661584993795e-07,2.473151994308864e-08,2.339432967346511e-07,2.473151994308864e-08,-2.2558818102425e-07,-1.881287943206189e-07,1.2737700672005305e-08,4.5770704559799924e-07,0.9999995827674866,0.9999995231628418,4.6183802737687074e-07
Seed 6 / Epoch 50000,0.125,-0.993491232395172,0.996716856956482,0.2309344857931137,0.7678976655006409,-0.003225534921512,-0.2390438467264175,0.8535825610160828,-0.6580777168273926,0.4999998807907104,8.903560200224092e-08,-1.2719368669422693e-08,-6.864285495566946e-08,9.806122136524207e-09,-1.2719368669422693e-08,9.806122136524207e-09,-1.1843338398875859e-07,1.6207810205060014e-08,-1.341104507446289e-07,0.4999998807907104,0.9999997615814208,0.4999998807907104,2.086162567138672e-07
Seed 7 / Epoch 50000,0.5,0.2669396102428436,-0.6723965406417847,-0.842374324798584,-1.167974829673767,0.0,0.0,-1.4024959802627563,-0.8224987387657166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seed 8 / Epoch 50000,0.25,0.7852948307991028,-0.7699137926101685,0.3691696524620056,-0.4079673886299133,6.088233028833656e-09,0.0387901253998279,1.0733087062835691,0.4256446659564972,-0.0165102817118167,-2.878838358810754e-07,0.0,-1.1416679512876728e-07,0.0,0.0,0.0,-2.1063249278086005e-07,-9.9019018762192e-08,0.0,5.364418029785156e-07,0.0,0.999999463558197,0.0
Seed 9 / Epoch 50000,0.1666666567325592,-0.8438063263893127,0.8578217625617981,-0.8190097212791443,-1.2039384841918943,-0.0315748155117034,0.0,0.8068611025810242,-0.2649069428443908,0.3333334326744079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4901161193847656e-07,0.3333334326744079,1.0,0.3333334326744079,0.3333334326744079
Seed 10 / Epoch 50000,0.5,-0.558162271976471,-0.7005507349967957,-1.4041435718536377,0.3793425858020782,0.0,0.0,1.3905320167541504,-1.710587739944458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
