Seed & Epoch,Loss,"L1 W1,1","L1 W2,1","L1 W1,2","L1 W2,2",L1 B1,L1 B2,"L2 W1,1","L2 W2,1",L2 B1,"L1 GW1,1","L1 GW2,1","L1 GW1,2","L1 GW2,2",L1 GB1,L1 GB2,"L2 GW1,1","L2 GW2,1",L2 GB1,Predicted Y1,Predicted Y2,Predicted Y3,Predicted Y4
Seed 1 / Epoch 50000,2.5881635723479235e-10,-1.991477131843567,1.5218796730041504,-2.017347574234009,2.240346670150757,-1.869711637496948,-2.292673110961914,2.65313458442688,5.398460388183594,1.797986626625061,2.1634832592098974e-08,-5.633834234686219e-07,-5.469653387990547e-07,-1.333162344963057e-07,3.735835889528971e-07,7.67817482483224e-07,-1.1915369668713538e-06,-1.3332924027054105e-06,-5.955303095106501e-07,1.0669345101632643e-05,1.000002145767212,0.9999799728393556,2.2709886252414435e-05
Seed 2 / Epoch 50000,6.810587684091818e-12,-1.5843589305877686,-1.5720596313476562,1.0109719038009644,1.006221890449524,0.8081818222999573,-0.8045798540115356,-2.2441859245300293,-1.4486284255981443,0.8943823575973511,5.228254735811788e-07,5.322988272382645e-07,-5.757867711508879e-07,-5.788998009848001e-07,-2.885421395149024e-07,1.1187364634679399e-07,5.768056325905491e-07,5.531226179300575e-07,-2.9800708034599666e-07,2.324586603208445e-06,0.999998152256012,0.999998152256012,3.87431691706297e-06
Seed 3 / Epoch 50000,0.5000052452087402,1.3461337089538574,0.972055435180664,0.7307133674621582,1.447123885154724,1.8876134157180784,1.235734939575195,-3.312746524810791,-2.278585910797119,-0.6747983694076538,-8.315126251545735e-06,-5.561944817600306e-06,-5.766828053310746e-06,-3.8408220461860765e-06,-2.074199801427312e-05,-1.392155172652565e-05,1.4521144294121768e-05,9.698866961116435e-06,5.772543772764038e-06,-0.0020854151807725,-3.288072775831097e-06,-4.982116024621064e-06,-6.541751140787255e-09
Seed 4 / Epoch 50000,1.5130353914205583e-10,1.5204455852508545,-2.1018950939178467,-3.40165114402771,-1.439850687980652,-1.1039133071899414,-0.0846937298774719,1.9195884466171265,-4.268836975097656,0.3545384705066681,-2.878467455502687e-07,1.959175506272004e-07,7.415462164317432e-07,-4.431720412867435e-07,5.816111183776229e-07,3.2641366942698375e-08,-5.957755320196156e-07,1.3354871271076265e-06,-1.4491570254904218e-07,-7.897609748397372e-07,0.999988615512848,1.0000005960464478,2.17859724216396e-05
Seed 5 / Epoch 50000,7.032435831583195e-12,1.437382698059082,-1.4036962985992432,-1.4821518659591677,1.44604229927063,-0.1033719852566719,-0.1783136427402496,1.4049267768859863,1.4886590242385864,0.1897950768470764,-5.891834575777466e-07,-5.891834575777466e-07,-5.282334427647584e-07,-5.282334427647584e-07,2.3351333311438797e-08,6.711866262776311e-08,-1.7342623337412988e-08,7.3498087616030724e-09,7.080177510943031e-08,3.8892180782568175e-06,1.0,1.0,-3.606068048611633e-06
Seed 6 / Epoch 50000,9.365903018421218e-12,-2.4235126972198486,2.330345630645752,-1.0052974224090576,1.0001522302627563,-1.1037758588790894,0.726593554019928,2.213562488555908,-1.4641544818878174,1.3255592584609983,2.67025484390615e-07,-9.016368380798668e-07,5.589969873653899e-07,3.272508024565468e-07,-5.290823992254445e-07,-2.968472472275608e-07,-6.421234388653829e-07,3.246711912652245e-07,-5.811248797726876e-07,4.94721007271437e-06,0.9999991655349731,0.9999966621398926,1.0728847428254085e-06
Seed 7 / Epoch 50000,1.096611690343252e-10,-1.832843542098999,-1.857938766479492,-2.248823642730713,-2.228789091110229,-0.4016167223453522,0.0433768853545188,-3.5507454872131348,-4.492311954498291,-0.4721928536891937,3.3396077014913323e-08,1.7647698768996636e-07,-1.7589275103091498e-07,1.161038198915776e-08,-1.5212168591460798e-07,6.716072675772011e-08,6.905485747665807e-07,7.003500854807498e-07,8.598590284236708e-08,-1.907344994833693e-06,0.9999960064888,0.9999951720237732,1.9893446733476597e-05
Seed 8 / Epoch 50000,5.311324730722378e-12,2.2245736122131348,-2.3728644847869877,0.9441948533058168,-0.957689642906189,-0.9908963441848756,0.8214253187179565,2.1790554523468018,-1.4811196327209473,1.429578185081482,-5.429911880128202e-07,2.654304580573808e-07,-2.025223011514754e-07,2.671430934242381e-07,-1.8880555785472097e-07,-2.8405673901943373e-07,-4.383796579077171e-07,3.929131935365149e-07,-4.172218268649885e-07,3.039846205865615e-06,0.9999971985816956,0.999999463558197,1.966957142940373e-06
Seed 9 / Epoch 50000,1.0631524957269156e-12,0.8772193193435669,0.9490796327590942,-2.3480441570281982,-2.0517680644989014,-0.0610698796808719,0.556323766708374,-0.8184378743171692,-2.8969199657440186,1.000124454498291,-2.2383085251931334e-07,-1.1018846635124647e-07,2.2166322111161207e-08,2.9484930053058637e-08,1.316945485996257e-08,-2.8737503043885226e-07,2.915990364726895e-07,1.732385186414831e-07,-5.9601973134704174e-08,4.768373855768004e-07,0.999999225139618,0.9999995231628418,1.788142526493175e-06
Seed 10 / Epoch 50000,4.668426669546255e-12,-0.6759339570999146,-0.6906417012214661,-2.317570209503174,-2.1726694107055664,1.0757291316986084,0.7282679677009583,1.9390584230422971,-3.116034507751465,-0.0249462816864252,9.655309440859128e-09,-1.029118266160367e-07,1.0398186844895466e-07,1.2977807273273356e-07,-5.817253736495331e-07,-2.433529289191938e-07,-2.936760097327351e-07,2.695924194995314e-07,8.860183697834145e-09,4.423784218943183e-07,0.9999988079071044,0.9999989867210388,4.003771664429223e-06
